consonant	ai_ring	ai_classic	i	long_i	u	long_u	a	long_a	final	dialect
	ᐂ	ᐁ	ᐃ	ᐄ	ᐅ	ᐆ	ᐊ	ᐋ	
p	ᐰ	ᐯ	ᐱ	ᐲ	ᐳ	ᐴ	ᐸ	ᐹ	ᑉ
t	ᑍ	ᑌ	ᑎ	ᑏ	ᑐ	ᑑ	ᑕ	ᑖ	ᑦ
k	ᑬ	ᑫ	ᑭ	ᑮ	ᑯ	ᑰ	ᑲ	ᑳ	ᒃ
g	ᒊ	ᒉ	ᒋ	ᒌ	ᒍ	ᒎ	ᒐ	ᒑ	ᒡ
m	ᒤ	ᒣ	ᒥ	ᒦ	ᒧ	ᒨ	ᒪ	ᒫ	ᒻ
n	ᓁ	ᓀ	ᓂ	ᓃ	ᓄ	ᓅ	ᓇ	ᓈ	ᓐ
s	ᓮ	ᓭ	ᓯ	ᓰ	ᓱ	ᓲ	ᓴ	ᓵ	ᔅ
l	ᓔ	ᓓ	ᓕ	ᓖ	ᓗ	ᓘ	ᓚ	ᓛ	ᓪ
j	ᔧ	ᔦ	ᔨ	ᔩ	ᔪ	ᔫ	ᔭ	ᔮ	ᔾ
jj	ᑦᔧ	ᑦᔦ	ᑦᔨ	ᑦᔩ	ᑦᔪ	ᑦᔫ	ᑦᔭ	ᑦᔮ	ᑦᔾ
v	ᕔ	ᕓ	ᕕ	ᕖ	ᕗ	ᕘ	ᕙ	ᕚ	ᕝ
r	ᕅ	ᕂ	ᕆ	ᕇ	ᕈ	ᕉ	ᕋ	ᕌ	ᕐ
q	ᕾ	ᙯ	ᕿ	ᖀ	ᖁ	ᖂ	ᖃ	ᖄ	ᖅ
ng	ᖎ	ᙰ	ᖏ	ᖐ	ᖑ	ᖒ	ᖓ	ᖔ	ᖕ
nng			ᙱ	ᙲ	ᙳ	ᙴ	ᙵ	ᙶ	ᖖ
ʼ									ᑊ
qq		ᖅᑫ	ᖅᑭ	ᖅᑮ	ᖅᑯ	ᖅᑰ	ᖅᑲ	ᖅᑳ	ᖅᒃ	Nunavut
h									ᕼ	Nunavut
ř			ᖨ	ᖩ	ᖪ	ᖫ	ᖬ	ᖭ	ᖮ	Nattilik
ł			ᖠ	ᖡ	ᖢ	ᖣ	ᖤ	ᖥ	ᖦ	Nattilik
š			𑪶	𑪷	𑪸	𑪹	𑪺	𑪻		Nattilik
ch			ᕠ	ᕢ	ᕤ	ᕥ	ᕦ	ᕧ	ᕪ	Nattilik
b									ᖯ	Aivilik
h		ᕴ	ᕵ	ᕶ	ᕷ	ᕸ	ᕹ	ᕺ	ᕻ	Nunavik
š			ᓯ̵	ᓰ̵	ᓱ̵	ᓲ̵	ᓴ̵	ᓵ̵	ᔅ̵	Nattilik
